word,sopmi
下咽,-33.68132322126807
…铁板煎鸡碎散，,-33.6633338487502
一味,-33.66333384875018
放在,-33.524581778803004
七元,-33.47068877080781
再见,-33.4706887708078
都挺好,-33.47068877080778
3,-33.40543423182885
慢慢,-33.35932766186009
柴菜,-33.30076376936549
薄薄,-33.24829634947136
上当,-33.14876067592045
头一次,-33.14876067592044
必胜客,-33.148760675920435
？？！,-33.148760675920435
肠,-33.14876067592043
批,-33.14876067592043
！饭,-33.14876067592043
合谷,-33.14370744819415
味，,-33.05565127152896
一两分钟,-33.0112571521705
一点点,-32.92636825458398
男生,-32.88572627008665
怪味,-32.88572627008664
2次,-32.885726270086636
全聚德,-32.885726270086636
萨,-32.88572627008662
三根,-32.83450094673147
失败,-32.82683258103309
五块,-32.815336942195245
意思,-32.73372317664158
绝不再,-32.73372317664158
，小炒香干,-32.6633338487502
半盒,-32.64626033539125
呐,-32.634764696553425
喂,-32.56379817519928
商务,-32.56379817519928
浪费,-32.56379817519927
学校,-32.47068877080781
几块,-32.470688770807804
里边,-32.4706887708078
卖相极差,-32.4706887708078
酱汤,-32.4706887708078
！头,-32.4706887708078
不能吃,-32.4706887708078
死，,-32.47068877080778
锅,-32.42075646790791
不通，,-32.41179508175423
越来越,-32.41179508175422
4,-32.34806948414382
不止,-32.30076376936549
恩,-32.30076376936549
20,-32.27274939319588
辣酱，,-32.24829634947135
面皮,-32.248296349471346
胃疼,-32.248296349471346
不在,-32.19384856544896
受不了,-32.148760675920435
似,-32.14876067592043
无味,-32.14876067592043
，坨,-32.07837134802902
一串,-32.07837134802902
，口感,-32.05565127152896
12:15,-32.055651271528944
。蟹黄蒸蛋,-32.01125715217051
纪录,-31.947126814750785
2小时,-31.93819368998078
糟,-31.907752576416637
芝士饭,-31.885726270086646
郁闷,-31.885726270086643
油豆角，,-31.885726270086643
11:15,-31.88572627008662
近两小时,-31.88572627008662
馆子,-31.88572627008662
豆角,-31.863006193586557
汉堡,-31.804112504532995
部分,-31.777201813308466
很明显,-31.770249052666703
容量,-31.733723176641575
想问问,-31.715801268644338
方便面,-31.689329057283146
生,-31.68932905728314
量比,-31.684092408916992
18元,-31.663333848750206
上面,-31.6633338487502
，汤,-31.66333384875019
12:30,-31.663333848750185
透,-31.620381703565663
！老子,-31.563798175199285
两根,-31.563798175199278
80分钟,-31.563798175199274
咸味,-31.563798175199274
凉皮，,-31.56379817519927
咽,-31.470688770807797
官网,-31.470688770807797
发脾气,-31.426294651449332
上楼,-31.341405753862823
三份,-31.341405753862816
说好,-31.339444237529555
不接电话,-31.307190038524926
八宝,-31.300763769365492
，红烧肉,-31.300763769365485
酱料,-31.300763769365485
狗屁,-31.30076376936548
20块,-31.300763769365478
酱爆鸡丁,-31.300763769365474
起,-31.280005209198677
以外,-31.24829634947135
这么贵,-31.24829634947135
不足,-31.21587487177896
烂呼,-31.185286551945545
鸡翅,-31.148760675920435
逗,-31.14876067592043
洋葱,-31.14876067592043
收餐,-31.14876067592043
大盘鸡,-31.14876067592043
糠,-31.14876067592043
3元,-31.148760675920425
下午1点半,-31.14876067592042
散,-31.130838767923162
洋葱圈，,-31.07837134802904
从未,-31.078371348029037
扮拌,-31.078371348029037
饿坏,-31.078371348029034
外星人,-31.078371348029034
其余,-31.078371348029034
低,-31.07837134802903
肥牛，,-31.07837134802903
吵,-31.078371348029023
极差,-31.061297834670096
木耳,-31.055651271528966
多量,-30.97883567447813
一个字,-30.968188430278612
，炸鸡,-30.947126814750785
惊人，炸薯条,-30.947126814750785
慢。,-30.940174054109015
巨难,-30.916099919130154
菠萝,-30.88572627008664
抄手,-30.863006193586553
这样子,-30.855978926692583
鱼,-30.798263428836307
两个字,-30.770249052666706
金枪,-30.770249052666706
11点十四分,-30.770249052666706
绿豆沙,-30.770249052666703
蛋，,-30.770249052666696
门口,-30.770249052666692
无所谓,-30.736634772061485
30,-30.733723176641597
酱油汁，土豆饼,-30.689329057283135
手机,-30.689329057283132
猪,-30.663333848750202
无期,-30.663333848750202
2分钟,-30.6633338487502
时间点,-30.663333848750185
北京鸡肉卷,-30.663333848750185
偶然,-30.663333848750185
几分钟,-30.642023342504793
佩服,-30.637798756643065
盖饭王,-30.563798175199285
毛豆,-30.563798175199285
这几天,-30.563798175199274
7点半,-30.56379817519927
95分钟,-30.56379817519927
一股,-30.519404055840834
招,-30.493408847307876
颗,-30.493408847307872
小炒牛肉,-30.485795663197997
水乐,-30.470688770807797
火腿,-30.47068877080779
喷,-30.470688770807783
梅菜扣肉，,-30.47068877080778
硬好,-30.448320957779345
糟，,-30.448320957779337
吐,-30.393873173756965
麻辣烫特次,-30.383225929557465
肉，豆腐，,-30.341405753862833
均,-30.341405753862833
肉末茄子…,-30.341405753862833
花生！,-30.341405753862833
种类,-30.300763769365478
，果,-30.300763769365474
汤儿泡饭,-30.203902230112895
猪肉,-30.177907021579955
）；,-30.14876067592044
绝,-30.130838767923173
姜吗？,-30.078371348029048
十元,-30.078371348029044
黑乎乎,-30.07837134802904
巧克力,-30.078371348029037
豆,-30.078371348029027
3次,-30.061297834670107
顾客。,-30.061297834670096
汤。,-30.033283458500495
全部,-30.011257152170508
不见,-30.011257152170504
算是,-30.0112571521705
想到,-30.011257152170497
词,-30.011257152170487
四季,-29.96289413060911
花钱,-29.900833162476847
，干煸,-29.885726270086646
，铁板肉酱豆腐,-29.885726270086646
扮,-29.885726270086636
蒸米饭，,-29.885726270086636
一问三不知,-29.88572627008663
免,-29.882911254479584
辣牛肉汤,-29.826832581033074
不断,-29.826832581033067
外卖点,-29.826832581033056
高峰,-29.808910673035804
歉意,-29.803748967920015
消费者,-29.797853514061295
6,-29.786662142557528
厚厚,-29.715801268644334
，史,-29.715801268644327
最多,-29.68778689247473
三,-29.685360155080197
嘴,-29.66701889555804
放弃,-29.663333848750202
金枪鱼,-29.663333848750188
不足以,-29.637798756643043
提,-29.61270777568022
葱段,-29.60032405122439
石锅,-29.58706795452211
摩西,-29.56379817519928
站地,-29.563798175199267
准备菜,-29.504904486145715
软绵绵,-29.493408847307887
口气,-29.493408847307865
泡椒牛肉面,-29.44832095777934
回复,-29.440941427413726
毛线,-29.426294651449343
南瓜汁,-29.426294651449343
正餐,-29.426294651449336
四次,-29.393873173756962
在这里,-29.36216431402962
烤肠。,-29.341405753862816
客户,-29.299047296776457
最后一次,-29.292239697058953
取,-29.29011652516597
两道,-29.26123540517886
色素,-29.261235405178848
拿出,-29.22276125736421
改正,-29.222761257364205
蜂蜜,-29.222761257364198
差劲！,-29.222761257364198
强烈推荐,-29.203902230112895
盖,-29.14876067592043
定！,-29.13977189269318
对付,-29.130838767923173
，肥,-29.130838767923162
这两样,-29.12673436959043
稀释,-29.10436655656197
看看,-29.078371348029034
好意思,-29.07837134802903
基本上,-29.072657696834625
3块,-29.06129783467011
食材,-29.061297834670093
以及,-29.025903928134902
饿了么,-29.019477658975465
烤肠，烤肠,-29.0112571521705
至今,-29.011257152170497
碰,-29.011257152170497
做不到,-29.011257152170487
赖,-28.978835674478123
姜丝。,-28.947126814750785
。凉拌米线,-28.94712681475078
相差,-28.908446346586732
八十多分钟,-28.908446346586725
顺路,-28.908446346586725
星冰乐，,-28.90844634658671
大妈,-28.88572627008663
到处,-28.85640569641641
磨,-28.798263428836304
高大上,-28.798263428836297
断,-28.77720181330847
吓,-28.77024905266671
退餐,-28.7702490526667
不符,-28.7633296387269
準備,-28.70913753836333
苦苦,-28.709137538363304
即使,-28.637798756643054
，丸子,-28.63779875664305
姜,-28.637798756643047
跳,-28.62519871986341
生意,-28.604440159696626
再加上,-28.60032405122438
女士,-28.59696503913447
京酱肉丝,-28.586518251699356
丢了,-28.573668419223328
各位,-28.56379817519927
随意,-28.56379817519927
仔鱼籽豆腐，,-28.49340884730788
卧槽,-28.48769519611348
5份,-28.487695196113478
想起来,-28.48020062579986
自行,-28.4706887708078
6次,-28.44832095777933
总,-28.423867914054803
要死,-28.39437802867682
很多层,-28.33113741840901
一半多,-28.310817434029403
請,-28.256369650007038
另,-28.24187008031192
车,-28.22276125736421
不要再买,-28.148760675920432
泡软,-28.104366556561978
应,-28.069809334525615
速冻,-28.02774527495905
这么难吃,-28.01947765897547
同事们,-28.015361550503226
也罢。,-28.0030832207248
两点半,-28.0030832207248
最讨厌,-27.990908506778705
不通,-27.874499014663385
明确,-27.8413321507282
湿乎乎,-27.841332150728192
，极差,-27.83044383458544
盖子,-27.826832581033056
1个小时,-27.823557449000205
过长,-27.816052742279826
撂,-27.808910673035808
闹肚子,-27.764710869125274
教,-27.75644325314168
葱,-27.71580126864433
叔叔,-27.637798756643065
威胁,-27.56379817519928
這,-27.560795687037754
南瓜子,-27.528174265468557
产品,-27.51649246042092
二十,-27.49340884730788
吃完饭,-27.487695196113474
丽华快餐,-27.467873755200742
蒸,-27.442782774237916
恐吓,-27.429029619170585
的确实,-27.393873173756973
垃圾桶,-27.38322592955746
打完,-27.383225929557444
送单,-27.377931629887932
  ,-27.26123540517886
偷工减料,-27.171480752420507
著,-27.14876067592044
之内,-27.12639286289198
体积,-27.10436655656198
。肉,-27.078371348029034
咽，,-27.04023621914227
一多半,-27.040236219142262
难以下,-27.02774527495907
教育,-26.988889339142034
。。。。。,-26.94908833108406
裡,-26.908446346586732
彻底,-26.88197413522553
做不起,-26.881974135225526
崩溃,-26.750729601947274
地点,-26.71580126864432
多长时间,-26.600324051224405
很可惜,-26.554809391972025
天理,-26.539951433244898
价,-26.47869460682286
作,-26.4427827742379
要死。,-26.339689281273802
！！！！！！！,-26.303270624976054
沒有,-26.300763769365478
很难,-26.29845360867828
放到,-26.261235405178855
咖啡,-26.259791988309182
幸运,-26.253942912612498
总之,-26.142334406761005
外卖盒,-26.073778236728547
）,-26.05374048349201
汤全,-26.040236219142262
骨头,-26.03397722867058
远,-25.963859101954757
被骗,-25.94908833108408
店面,-25.93152995969977
身边,-25.910355936595348
一会,-25.844067118449424
难以,-25.83758001586708
泡面,-25.782438461674626
锡箔,-25.751040672859663
充饥,-25.6991993013072
饮品,-25.66333384875019
接通,-25.581945521909542
良心,-25.49340884730787
7,-25.204738914611717
包裝,-25.125125116728775
熟悉,-25.073014137859527
还要,-24.72729690748215
坐,-24.70550628791645
牛肉饭,-24.64096603572173
没法,-24.6017660253983
坑,-24.582906998146974
除了,-24.557371906039847
四五个,-24.52762456264579
如此,-24.372010215648356
所有,-24.13083876792318
漏,-24.075367417171755
恶心,-24.067146910366773
水平,-23.99117228975532
北,-23.853852794966784
死,-23.44350394148156
半天,-23.331707170431535
煲,-23.160561852021697
不满,-22.956972716369506
中医,-22.859907511141987
咱,-22.719029291498558
差劲,-22.642408009895632
价钱,-22.61593579853446
卤蛋,-22.615935798534448
貌似,-22.582287017458068
服务员,-22.542872336344736
服,-22.53912020148362
明明,-22.53089969467866
盐,-22.516400124983537
巨,-22.294007703647083
宇宙,-22.25336571914974
明显,-22.182976391258336
极点,-22.089866986866873
一家,-22.064920629736633
还给,-22.057445509174485
爆,-22.030973297813286
至极,-21.967247700202904
一只,-21.90544241572943
拍,-21.89447129790844
奶油,-21.883416109399445
关门,-21.767938891979504
哇,-21.5980138905372
并且,-21.58979338373222
问,-21.457506435929957
谁,-21.423290720592043
骗人,-21.030973297813304
无法,-21.03097329781329
厚,-20.960583969921892
这么多次,-20.91994198542455
物流,-20.87897020436826
吐槽,-20.85200315676797
其次,-20.833922561043885
很久,-20.797686235373558
？？,-20.7679388919795
，定,-20.745571078951045
。点,-20.735517414287138
整,-20.53347363834248
门店,-20.475758140486203
别人,-20.44601079709213
做好,-20.409484921067026
12点15,-20.334979484703403
3个,-20.32047991500829
拉皮,-20.320479915008278
一次点,-20.21154554345513
起来,-20.200898299255613
它,-20.18297639125834
投诉,-20.125504777273974
，饼,-20.083440717707436
格子,-19.919941985424547
半杯,-19.861048296370974
战斗机,-19.799647751706846
炒,-19.709045202925935
一根,-19.703808554559792
价位,-19.668403218428573
幸好,-19.63865587503453
鸡块,-19.60950952937503
坨,-19.609509529375025
两小时,-19.59123535790613
差距,-19.586041248871126
退钱,-19.561488014512072
吸管,-19.545546470643053
80多分钟,-19.498478216986275
饭盒,-19.486652781589477
慢好,-19.44601079709213
迟到,-19.43536355289264
温度,-19.352901392700666
调料,-19.27608579564983
份量,-19.276085795649823
贼,-19.27608579564982
中号,-19.276085795649816
石锅拌饭,-19.21539786895071
对方,-19.102056395874797
后悔,-19.03097329781329
，饭,-19.013051389816034
历时,-18.976525513790918
高峰期,-18.9605839699219
|,-18.886583388478112
成油,-18.861048296370992
太特,-18.861048296370992
，貌,-18.861048296370992
。炒饼,-18.861048296370992
加分量,-18.861048296370992
绝味鸭脖,-18.861048296370992
。娃娃菜,-18.861048296370992
。星巴克帕尼尼，,-18.861048296370992
，口味,-18.861048296370992
。菜花,-18.861048296370992
，真垃圾，,-18.861048296370992
！薯条,-18.861048296370992
，青菜炒饭,-18.861048296370992
实体,-18.861048296370992
硬菜,-18.861048296370992
，油条,-18.861048296370992
就量,-18.861048296370992
……春卷,-18.861048296370992
',-18.861048296370985
點,-18.861048296370985
，盖饭,-18.861048296370985
！卷饼,-18.861048296370985
！皮蛋瘦肉粥,-18.861048296370985
胎,-18.861048296370985
倒霉,-18.861048296370985
网评,-18.861048296370985
！！鱼香肉丝,-18.861048296370985
，慢，慢，,-18.861048296370985
，望日,-18.861048296370985
tm,-18.861048296370985
1倍,-18.861048296370985
。袋子,-18.861048296370985
：送餐,-18.861048296370985
全聚德比,-18.861048296370985
速递级,-18.861048296370985
平日,-18.861048296370985
杨铭宇,-18.861048296370985
怕是,-18.861048296370985
！骨肉,-18.861048296370985
太！,-18.861048296370985
！！！果断差评，,-18.861048296370985
，差，差，,-18.861048296370985
。钟水饺,-18.861048296370985
，比老车记,-18.861048296370985
十分钟2个小时,-18.861048296370985
、、,-18.861048296370985
抓狂。,-18.861048296370985
，花,-18.86104829637098
，块,-18.86104829637098
，少,-18.86104829637098
喝水,-18.86104829637098
泡菜炒饭，,-18.86104829637098
搁,-18.86104829637098
老是,-18.86104829637098
。饭,-18.861048296370978
然而,-18.861048296370978
极度,-18.861048296370974
阿,-18.861048296370967
太尼玛,-18.861048296370967
。（,-18.861048296370967
几把,-18.861048296370967
定餐,-18.787047714927198
未,-18.771633375537235
沟通,-18.74863833602057
一大半,-18.74206026015389
一张,-18.709045202925935
差，,-18.697549564088106
蜗牛,-18.66840321842858
不知,-18.638655875034537
收到,-18.609509529375025
十点半,-18.498478216986275
需,-18.468730873592232
………,-18.446010797092153
了得,-18.44601079709215
厚，,-18.446010797092143
豆浆，,-18.446010797092143
30元,-18.446010797092143
别点,-18.446010797092143
中分,-18.44601079709214
菜量,-18.44601079709214
信誉,-18.446010797092136
忍受,-18.446010797092136
两双,-18.446010797092132
十几块,-18.44601079709213
无法忍受,-18.44601079709213
土豆粉，,-18.44601079709213
酸豆角,-18.44601079709213
绿豆沙，,-18.44601079709213
一堆,-18.4395845279327
100,-18.363548636900166
看来,-18.330533579672206
╭,-18.30850727334219
接线,-18.27608579564984
翻,-18.276085795649834
糟糕,-18.276085795649816
有待,-18.23301707375793
快餐,-18.22361837575568
普遍,-18.214685250985692
点餐,-18.211545543455113
收,-18.176550122098913
肯定,-18.137888501729805
15,-18.134066790777396
面包,-18.124082702204774
好歹,-18.07517310172384
没看见,-18.05369337431337
另一个,-18.04477909733833
打包盒,-18.030973297813293
理,-18.030973297813286
凝固,-18.024547028653867
退,-18.015148330651602
！定,-17.99229282964924
同,-17.967963500287503
30分钟,-17.917631824737345
情况,-17.91351571626513
泡,-17.90400044155554
排骨,-17.896043717727196
50%,-17.861048296371
减肥,-17.861048296370996
四季豆,-17.861048296370996
八点半,-17.861048296370996
一个小时二十分钟,-17.861048296370996
9元,-17.861048296370996
辣子鸡,-17.861048296370992
zz,-17.861048296370992
超慢,-17.861048296370992
可能量,-17.861048296370992
手撕包菜肉,-17.861048296370992
老炮,-17.861048296370992
咸水鸭,-17.861048296370992
醋味，,-17.861048296370992
盖浇饭,-17.861048296370992
无以复加,-17.861048296370992
牛肉拌饭,-17.861048296370992
皮肉,-17.861048296370992
纯素拌饭,-17.861048296370992
辣白菜。。。,-17.861048296370992
额。。。,-17.861048296370992
。。。菜,-17.861048296370992
盖饭菜,-17.861048296370992
一逼。,-17.861048296370992
，鸡丝凉面,-17.861048296370992
手量,-17.861048296370992
，蛋饼,-17.861048296370992
小跟,-17.861048296370992
四包千岛酱了，四包！！干,-17.861048296370992
柠香鸡翅。,-17.861048296370992
外卖量,-17.861048296370992
可怜，连,-17.861048296370992
，蛋,-17.861048296370992
西兰花，菜花，鸡蛋,-17.861048296370992
要死…,-17.861048296370992
鱼肉,-17.861048296370992
牛柳,-17.861048296370992
变化,-17.861048296370992
贵菜,-17.861048296370992
甜不唧唧,-17.861048296370992
辣子鸡丁，,-17.861048296370992
煎蛋，,-17.861048296370992
葱烧木耳，菜,-17.861048296370992
26元,-17.861048296370992
米和菜,-17.861048296370992
干锅手撕鸡，,-17.861048296370992
一逼，体验差，名不副实。,-17.861048296370992
？！！？饭,-17.861048296370992
秋葵菜,-17.861048296370992
不要说,-17.861048296370992
！餐盒,-17.861048296370992
银耳莲子羹,-17.861048296370992
久久丫,-17.861048296370992
世界上,-17.861048296370992
肉夹馍！！！,-17.861048296370992
凉皮………,-17.861048296370992
无别,-17.861048296370992
不公平,-17.861048296370992
劲道，,-17.861048296370992
许多,-17.861048296370992
烤肠，,-17.861048296370992
鉴定,-17.861048296370992
不符！,-17.861048296370992
夫妻,-17.861048296370992
黄花菜,-17.861048296370992
短期内,-17.861048296370992
麻油，,-17.861048296370992
很可爱,-17.861048296370985
120分钟,-17.861048296370985
五,-17.861048296370985
四十多分钟,-17.861048296370985
酱香卷,-17.861048296370985
2份,-17.861048296370985
酸辣粉,-17.861048296370985
～～～～,-17.861048296370985
超出,-17.861048296370985
，曲奇奶茶,-17.861048296370985
汉堡，肉卷也极差。到点,-17.861048296370985
口干,-17.861048296370985
就会,-17.861048296370985
，险些饿死…,-17.861048296370985
丢单,-17.861048296370985
绝无,-17.861048296370985
，，，,-17.861048296370985
非一般,-17.861048296370985
！纯素卷,-17.861048296370985
远，饼,-17.861048296370985
tmd,-17.861048296370985
110分钟,-17.861048296370985
！青椒,-17.861048296370985
，，。,-17.861048296370985
10点40,-17.861048296370985
，整,-17.861048296370985
1.30,-17.861048296370985
派软塌塌,-17.861048296370985
卤打的还行，囊,-17.861048296370985
要命，,-17.861048296370985
陪送,-17.861048296370985
请假,-17.861048296370985
131分钟,-17.861048296370985
无与伦比,-17.861048296370985
缺斤短,-17.861048296370985
没法子,-17.861048296370985
～菜品,-17.861048296370985
，生煎包,-17.861048296370985
，东西送错,-17.861048296370985
无可救药，,-17.861048296370985
？！。,-17.861048296370985
包饺子,-17.861048296370985
出餐,-17.861048296370985
做到,-17.861048296370985
羊杂汤变砖块，,-17.861048296370985
十万八千,-17.861048296370985
来得,-17.861048296370985
要死，呵呵，,-17.861048296370985
。TM,-17.861048296370985
呢！！！,-17.861048296370985
意识,-17.861048296370985
·,-17.861048296370985
，比正,-17.861048296370985
13:40,-17.861048296370985
cao,-17.861048296370985
红烧牛肉面,-17.861048296370985
快要,-17.861048296370985
。河粉,-17.861048296370985
岂是,-17.861048296370985
无言以对,-17.861048296370985
螺号,-17.861048296370985
不得,-17.86104829637098
果真,-17.86104829637098
厉害,-17.86104829637098
极致,-17.86104829637098
变得,-17.86104829637098
半生不熟,-17.86104829637098
可口，,-17.861048296370978
可选,-17.861048296370978
派送,-17.861048296370978
，米,-17.861048296370978
坑害,-17.861048296370978
耳朵,-17.861048296370978
什锦蘑菇,-17.861048296370974
速度快、,-17.861048296370974
百度外卖订餐，,-17.861048296370974
呵呵，,-17.861048296370974
30，,-17.861048296370974
差一点,-17.861048296370967
，催单,-17.861048296370967
～～～～～,-17.861048296370967
有时候,-17.861048296370967
！差,-17.861048296370967
11:04,-17.861048296370967
，怪,-17.861048296370967
才会,-17.861048296370967
送回,-17.861048296370967
餐不错，,-17.861048296370967
东北菜,-17.861048296370967
多远,-17.861048296370967
星巴克,-17.861048296370967
取货,-17.861048296370967
92分钟,-17.861048296370967
水煮牛肉，,-17.861048296370967
炸鸡，,-17.861048296370967
勉强,-17.809767791427287
那么少,-17.803715121305032
裹,-17.80263161014566
怪,-17.793934100512445
剩下,-17.787047714927205
前后,-17.74557107895105
私自,-17.743691345732817
鸡丝,-17.691123294928683
两包,-17.680476050729165
靠,-17.67845688309251
蕨根粉,-17.66840321842858
解释,-17.638655875034537
相连,-17.62004019686719
直,-17.613120782927396
没了,-17.59158762137776
黏糊糊,-17.591587621377748
！蔬菜卷,-17.56559241284482
一手,-17.539120201483627
对不起,-17.539120201483616
这么少,-17.539120201483616
然后,-17.472006005625076
35,-17.45665804129165
药,-17.446010797092157
有史以来,-17.446010797092146
不接,-17.446010797092143
小份,-17.44601079709214
焖,-17.44601079709214
60分钟,-17.446010797092132
卤肉,-17.446010797092132
她说,-17.41953858573095
骂人,-17.403197713553176
烤肠,-17.37562146920075
分开,-17.31672778014716
所谓,-17.285074578877083
宫保鸡丁,-17.282512064809264
不懂,-17.27608579564984
大肠,-17.276085795649834
超快，,-17.276085795649834
江,-17.276085795649834
香蕉,-17.276085795649834
龙抄手,-17.276085795649834
鸭份,-17.276085795649834
成年人,-17.276085795649834
再用,-17.276085795649834
欺负,-17.276085795649834
花儿,-17.276085795649834
退订,-17.276085795649834
错东西，,-17.276085795649834
胡萝卜木耳,-17.276085795649834
寡淡,-17.276085795649834
抄,-17.276085795649834
薯蓉！,-17.276085795649834
一口咬定,-17.276085795649834
！鸡,-17.276085795649834
饭、,-17.276085795649834
拌海带丝，,-17.276085795649834
牛肉粥,-17.276085795649834
代购,-17.276085795649834
八只,-17.276085795649834
钵仔饭，,-17.276085795649834
致电,-17.276085795649834
多一点别,-17.276085795649834
鸡翅。。。,-17.276085795649834
2B,-17.276085795649834
咱家,-17.276085795649834
竹筒,-17.276085795649834
马马虎虎,-17.276085795649834
条，,-17.276085795649834
多，外卖,-17.276085795649834
，鸭脖,-17.276085795649834
每,-17.27608579564983
丸子,-17.27608579564983
不敢,-17.27608579564983
两公里,-17.27608579564983
转到,-17.27608579564983
言,-17.276085795649827
天。。。,-17.276085795649827
裂开,-17.276085795649827
订到,-17.276085795649827
小！,-17.276085795649827
真他妈,-17.276085795649827
第三方,-17.276085795649827
吼,-17.276085795649827
米法蔬菜拌饭,-17.276085795649827
昨天2小时,-17.276085795649827
出京,-17.276085795649827
，伤不起，,-17.276085795649827
青椒好生…,-17.276085795649827
心思,-17.276085795649827
手感,-17.276085795649827
蛮横,-17.276085795649827
软塌,-17.276085795649827
，炸茄盒,-17.276085795649827
87分钟,-17.276085795649827
连锁店,-17.276085795649827
两，,-17.276085795649827
巨小,-17.276085795649827
意大利面粗，肉酱,-17.276085795649827
，疙瘩汤坨,-17.276085795649827
百荣到南站,-17.276085795649827
多，,-17.276085795649827
慢一单,-17.276085795649827
！锅包肉,-17.276085795649827
，汉堡王,-17.276085795649827
组织,-17.276085795649827
略素,-17.276085795649827
人气,-17.276085795649827
中学,-17.276085795649827
米线？,-17.276085795649827
缘故，,-17.276085795649827
1分钟,-17.276085795649827
得实,-17.276085795649827
正经,-17.276085795649827
1.10,-17.276085795649827
想不想,-17.276085795649827
龟,-17.276085795649827
！？！,-17.276085795649827
芝士。。。,-17.276085795649827
5.第一次,-17.276085795649827
，米超,-17.276085795649827
街,-17.276085795649827
真不容易,-17.276085795649827
！水,-17.276085795649827
腥，,-17.276085795649827
鳗鱼,-17.276085795649827
花肉,-17.276085795649827
绿豆,-17.276085795649827
妈呀,-17.276085795649827
第三第四次,-17.276085795649827
两三小时,-17.276085795649827
横！,-17.276085795649827
超级差，气死人。,-17.276085795649827
气死人，,-17.276085795649827
摧,-17.276085795649827
借,-17.276085795649827
改革,-17.276085795649827
恶死,-17.276085795649827
还错,-17.276085795649827
肺片,-17.276085795649827
s,-17.276085795649827
搜,-17.276085795649823
店长,-17.276085795649823
果仁,-17.276085795649823
没给,-17.276085795649823
板筋,-17.276085795649823
肠，,-17.276085795649823
腊肉,-17.276085795649823
加速,-17.27608579564982
ok,-17.27608579564982
待遇,-17.27608579564982
运输,-17.27608579564982
差。,-17.27608579564982
包肉,-17.27608579564982
？？？？？？,-17.27608579564982
蛋,-17.276085795649813
完毕,-17.276085795649806
月,-17.276085795649806
一大堆,-17.276085795649806
刷新,-17.248071419480237
这份,-17.23955991962472
简单,-17.22361837575569
店员,-17.223618375755677
几天,-17.150554913565966
瞎,-17.136155534505352
旺,-17.124082702204785
检查,-17.124082702204777
甚,-17.124082702204774
三盒,-17.12408270220477
量！,-17.12408270220477
回去,-17.124082702204767
骚扰,-17.124082702204767
13:10,-17.124082702204767
那边,-17.106160794207508
洋葱！！！包装还行…,-17.0309732978133
16:26,-16.986579178454843
跑,-16.966757737542096
